Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2023-01-01,CUST001,Male,25,Beauty,1,30,30
2,2023-01-02,CUST002,Female,30,Clothing,2,50,100
3,2023-01-03,CUST003,Male,35,Electronics,3,300,900
4,2023-01-04,CUST004,Female,40,Beauty,4,500,2000
5,2023-01-05,CUST005,Male,45,Clothing,1,30,30
6,2023-01-06,CUST006,Female,50,Electronics,2,50,100
7,2023-01-07,CUST007,Male,25,Beauty,3,300,900
8,2023-01-08,CUST008,Female,30,Clothing,4,500,2000
9,2023-01-09,CUST009,Male,35,Electronics,1,30,30
10,2023-01-10,CUST010,Female,40,Beauty,2,50,100
11,2023-01-11,CUST011,Male,45,Clothing,3,300,900
12,2023-01-12,CUST012,Female,50,Electronics,4,500,2000
13,2023-01-13,CUST013,Male,25,Beauty,1,30,30
14,2023-01-14,CUST014,Female,30,Clothing,2,50,100
15,2023-01-15,CUST015,Male,35,Electronics,3,300,900
16,2023-01-16,CUST016,Female,40,Beauty,4,500,2000
17,2023-01-17,CUST017,Male,45,Clothing,1,30,30
18,2023-01-18,CUST018,Female,50,Electronics,2,50,100
19,2023-01-19,CUST019,Male,25,Beauty,3,300,900
20,2023-01-20,CUST020,Female,30,Clothing,4,500,2000
21,2023-01-21,CUST021,Male,35,Electronics,1,30,30
22,2023-01-22,CUST022,Female,40,Beauty,2,50,100
23,2023-01-23,CUST023,Male,45,Clothing,3,300,900
24,2023-01-24,CUST024,Female,50,Electronics,4,500,2000
25,2023-01-25,CUST025,Male,25,Beauty,1,30,30
26,2023-01-26,CUST026,Female,30,Clothing,2,50,100
27,2023-01-27,CUST027,Male,35,Electronics,3,300,900
28,2023-01-28,CUST028,Female,40,Beauty,4,500,2000
29,2023-01-29,CUST029,Male,45,Clothing,1,30,30
30,2023-01-30,CUST030,Female,50,Electronics,2,50,100
31,2023-01-31,CUST031,Male,25,Beauty,3,300,900
32,2023-02-01,CUST032,Female,30,Clothing,4,500,2000
33,2023-02-02,CUST033,Male,35,Electronics,1,30,30
34,2023-02-03,CUST034,Female,40,Beauty,2,50,100
35,2023-02-04,CUST035,Male,45,Clothing,3,300,900
36,2023-02-05,CUST036,Female,50,Electronics,4,500,2000
37,2023-02-06,CUST037,Male,25,Beauty,1,30,30
38,2023-02-07,CUST038,Female,30,Clothing,2,50,100
39,2023-02-08,CUST039,Male,35,Electronics,3,300,900
40,2023-02-09,CUST040,Female,40,Beauty,4,500,2000
41,2023-02-10,CUST041,Male,45,Clothing,1,30,30
42,2023-02-11,CUST042,Female,50,Electronics,2,50,100
43,2023-02-12,CUST043,Male,25,Beauty,3,300,900
44,2023-02-13,CUST044,Female,30,Clothing,4,500,2000
45,2023-02-14,CUST045,Male,35,Electronics,1,30,30
46,2023-02-15,CUST046,Female,40,Beauty,2,50,100
47,2023-02-16,CUST047,Male,45,Clothing,3,300,900
48,2023-02-17,CUST048,Female,50,Electronics,4,500,2000
49,2023-02-18,CUST049,Male,25,Beauty,1,30,30
50,2023-02-19,CUST050,Female,30,Clothing,2,50,100
51,2023-02-20,CUST051,Male,35,Electronics,3,300,900
52,2023-02-21,CUST052,Female,40,Beauty,4,500,2000
53,2023-02-22,CUST053,Male,45,Clothing,1,30,30
54,2023-02-23,CUST054,Female,50,Electronics,2,50,100
55,2023-02-24,CUST055,Male,25,Beauty,3,300,900
56,2023-02-25,CUST056,Female,30,Clothing,4,500,2000
57,2023-02-26,CUST057,Male,35,Electronics,1,30,30
58,2023-02-27,CUST058,Female,40,Beauty,2,50,100
59,2023-02-28,CUST059,Male,45,Clothing,3,300,900
60,2023-03-01,CUST060,Female,50,Electronics,4,500,2000
61,2023-03-02,CUST061,Male,25,Beauty,1,30,30
62,2023-03-03,CUST062,Female,30,Clothing,2,50,100
63,2023-03-04,CUST063,Male,35,Electronics,3,300,900
64,2023-03-05,CUST064,Female,40,Beauty,4,500,2000
65,2023-03-06,CUST065,Male,45,Clothing,1,30,30
66,2023-03-07,CUST066,Female,50,Electronics,2,50,100
67,2023-03-08,CUST067,Male,25,Beauty,3,300,900
68,2023-03-09,CUST068,Female,30,Clothing,4,500,2000
69,2023-03-10,CUST069,Male,35,Electronics,1,30,30
70,2023-03-11,CUST070,Female,40,Beauty,2,50,100
71,2023-03-12,CUST071,Male,45,Clothing,3,300,900
72,2023-03-13,CUST072,Female,50,Electronics,4,500,2000
73,2023-03-14,CUST073,Male,25,Beauty,1,30,30
74,2023-03-15,CUST074,Female,30,Clothing,2,50,100
75,2023-03-16,CUST075,Male,35,Electronics,3,300,900
76,2023-03-17,CUST076,Female,40,Beauty,4,500,2000
77,2023-03-18,CUST077,Male,45,Clothing,1,30,30
78,2023-03-19,CUST078,Female,50,Electronics,2,50,100
79,2023-03-20,CUST079,Male,25,Beauty,3,300,900
80,2023-03-21,CUST080,Female,30,Clothing,4,500,2000
81,2023-03-22,CUST081,Male,35,Electronics,1,30,30
82,2023-03-23,CUST082,Female,40,Beauty,2,50,100
83,2023-03-24,CUST083,Male,45,Clothing,3,300,900
84,2023-03-25,CUST084,Female,50,Electronics,4,500,2000
85,2023-03-26,CUST085,Male,25,Beauty,1,30,30
86,2023-03-27,CUST086,Female,30,Clothing,2,50,100
87,2023-03-28,CUST087,Male,35,Electronics,3,300,900
88,2023-03-29,CUST088,Female,40,Beauty,4,500,2000
89,2023-03-30,CUST089,Male,45,Clothing,1,30,30
90,2023-03-31,CUST090,Female,50,Electronics,2,50,100
91,2023-04-01,CUST091,Male,25,Beauty,3,300,900
92,2023-04-02,CUST092,Female,30,Clothing,4,500,2000
93,2023-04-03,CUST093,Male,35,Electronics,1,30,30
94,2023-04-04,CUST094,Female,40,Beauty,2,50,100
95,2023-04-05,CUST095,Male,45,Clothing,3,300,900
96,2023-04-06,CUST096,Female,50,Electronics,4,500,2000
97,2023-04-07,CUST097,Male,25,Beauty,1,30,30
98,2023-04-08,CUST098,Female,30,Clothing,2,50,100
99,2023-04-09,CUST099,Male,35,Electronics,3,300,900
100,2023-04-10,CUST100,Female,40,Beauty,4,500,2000
101,2023-04-11,CUST101,Male,45,Clothing,1,30,30
102,2023-04-12,CUST102,Female,50,Electronics,2,50,100
103,2023-04-13,CUST103,Male,25,Beauty,3,300,900
104,2023-04-14,CUST104,Female,30,Clothing,4,500,2000
105,2023-04-15,CUST105,Male,35,Electronics,1,30,30
106,2023-04-16,CUST106,Female,40,Beauty,2,50,100
107,2023-04-17,CUST107,Male,45,Clothing,3,300,900
108,2023-04-18,CUST108,Female,50,Electronics,4,500,2000
109,2023-04-19,CUST109,Male,25,Beauty,1,30,30
110,2023-04-20,CUST110,Female,30,Clothing,2,50,100
111,2023-04-21,CUST111,Male,35,Electronics,3,300,900
112,2023-04-22,CUST112,Female,40,Beauty,4,500,2000
113,2023-04-23,CUST113,Male,45,Clothing,1,30,30
114,2023-04-24,CUST114,Female,50,Electronics,2,50,100
115,2023-04-25,CUST115,Male,25,Beauty,3,300,900
116,2023-04-26,CUST116,Female,30,Clothing,4,500,2000
117,2023-04-27,CUST117,Male,35,Electronics,1,30,30
118,2023-04-28,CUST118,Female,40,Beauty,2,50,100
119,2023-04-29,CUST119,Male,45,Clothing,3,300,900
120,2023-04-30,CUST120,Female,50,Electronics,4,500,2000
121,2023-05-01,CUST121,Male,25,Beauty,1,30,30
122,2023-05-02,CUST122,Female,30,Clothing,2,50,100
